Diopter (D),"1920x1080 (FHD, 24"")","2560x1440 (2K, 27"")","3840x2160 (4K, 32"")"
-7,322,437,642
-6.5,299,406,598
-6,276,375,553
-5.5,252,344,509
-5,229,312,464
-4.5,207,281,420
-4,184,250,375
-3.5,161,218,331
-3,138,187,286
-2.5,116,156,242
-2,92,125,197
-1.5,69,94,148
-1,46,62,98
-0.5,29,39,62
0,10,14,21
Diopter (D),"1920x1080 (FHD, 24"")","2560x1440 (2K, 27"")","3840x2160 (4K, 32"")"
0,1,2,3
0.5,3,4,6
1,5,7,10
1.5,7,10,15
2,10,14,21
2.5,13,18,27
3,17,24,35
3.5,21,29,43
4,25,35,51
4.5,30,42,61
5,34,48,69
5.5,39,55,79
6,44,62,89
6.5,49,69,99
7,54,76,109
